Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,ROL-164,12419839,Upgrade to Velocity 1.3.1,djohnson,djohnson,Minor,Closed,Fixed,23/Apr/03 02:30,23/Apr/03 03:12,
Bug,ROL-154,12419853,Missing indices needed for MySQL 4.0,djohnson,djohnson,Minor,Closed,Fixed,19/Apr/03 13:43,19/Apr/03 13:56,
Bug,ROL-144,12419877,updating website description doesn't work,djohnson,mraible,Minor,Closed,Cannot Reproduce,03/Mar/03 13:05,17/Apr/03 21:03,
Bug,ROL-137,12419823,"Theme Preview - Cancels goes to website settings rather than ""Change your weblog template""",djohnson,mraible,Minor,Closed,Won't Fix,30/Jan/03 23:53,17/Apr/03 20:55,
Bug,ROL-112,12420003,"When a database exception occurs, flush the cache",lavandowska,djohnson,Minor,Closed,Fixed,21/Nov/02 10:33,02/Apr/03 20:14,
Improvement,ROL-89,12419740,Implement RollerConfig object,djohnson,lavandowska,Minor,Closed,Fixed,28/Oct/02 14:57,17/Feb/03 17:58,
Bug,ROL-136,12419728,"First Time a New User logs in, an error occurs",djohnson,mraible,Minor,Closed,Fixed,30/Jan/03 23:50,16/Feb/03 22:23,
New Feature,ROL-93,12419791,Switchable themes: allow users to switch themes,lavandowska,lavandowska,Minor,Closed,Fixed,05/Nov/02 00:42,03/Jan/03 13:41,
Bug,ROL-116,12419817,How do I change the theme,djohnson,shakeel,Minor,Closed,Duplicate,26/Nov/02 10:52,28/Dec/02 14:36,
Bug,ROL-117,12419822,Cannot upload *.html files,djohnson,shakeel,Minor,Closed,Won't Fix,26/Nov/02 10:55,01/Dec/02 12:05,
New Feature,ROL-110,12419711, Forgot password,djohnson,dgirard,Minor,Closed,Duplicate,19/Nov/02 01:20,19/Nov/02 21:25,
New Feature,ROL-92,12419843,Add Spell Checker,lavandowska,lavandowska,Minor,Closed,Fixed,04/Nov/02 23:13,14/Nov/02 23:20,
Improvement,ROL-24,12419721,XHTML/CSS in the Editor UI,djohnson,djohnson,Minor,Closed,Fixed,04/Sep/02 23:12,13/Nov/02 14:32,
New Feature,ROL-45,12419811,Add Expand/Collapse Feature to Bookmarks and Newsfeeds,mraible,mraible,Minor,Closed,Fixed,19/Sep/02 00:29,13/Nov/02 14:31,
Bug,ROL-75,12419883,IE DHTML doesn't resize with of browser...,lavandowska,jduska,Minor,Closed,Fixed,24/Oct/02 21:51,28/Oct/02 21:49,
Bug,ROL-79,12419799,Unescaped titles and desciptions can result in invalid RSS2 output,djohnson,djohnson,Minor,Closed,Fixed,25/Oct/02 23:11,27/Oct/02 15:16,
Bug,ROL-62,12419719,bookmark attributes newsfeed_url and image not working,djohnson,mraible,Minor,Closed,Fixed,09/Oct/02 06:36,22/Oct/02 20:06,
Bug,ROL-34,12419933,SOAP classes not found,djohnson,roller_wsargent,Minor,Closed,Fixed,05/Sep/02 21:43,25/Sep/02 19:38,
